Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600163,  ????????,600163,  ????????,  1998-06-02
600165,  ????????,600165,  ????????,  1998-05-29
600166,  ????????,600166,  ????????,  1998-06-02
600167,  ????????,600167,  ????????,  1999-01-28
600168,  ????????,600168,  ????????,  1998-04-27
600169,  ????????,600169,  ????????,  1998-09-04
600170,  ????????,600170,  ????????,  1998-06-23
600171,  ????????,600171,  ????????,  1998-09-24
600172,  ????????,600172,  ????????,  1998-11-26
600173,  ????????,600173,  ????????,  1999-04-15
600176,  ????????,600176,  ????????,  1999-04-22
600177,  ??????,600177,  ??????,  1998-11-19
600178,  ????????,600178,  ????????,  1998-10-14
600179,  ????????,600179,  ????????,  1998-11-04
600180,  ??????,600180,  ??????,  1998-07-03
600182,  SST????,600182,  SST????,  1999-05-07
600183,  ????????,600183,  ????????,  1998-10-28
600184,  ????????,600184,  ????????,  2003-11-06
600185,  ????????,600185,  ????????,  1999-06-11
600186,  ????????,600186,  ????????,  1998-08-25
600187,  ????????,600187,  ????????,  1998-11-11
600188,  ????????,600188,  ????????,  1998-07-01
600189,  ??????,600189,  ??????,  1998-10-07
600190,  ??????,600190,  ??????,  1999-06-09
600191,  *ST????,600191,  *ST????,  1998-12-10
600192,  ????????,600192,  ????????,  1998-12-24
600193,  ????????,600193,  ????????,  1999-05-27
600195,  ????????,600195,  ????????,  1999-01-07
600196,  ????????,600196,  ????????,  1998-08-07
600197,  ??????,600197,  ??????,  1999-09-16
600198,  *ST????,600198,  *ST????,  1998-10-21
600199,  ????????,600199,  ????????,  1998-08-12
600200,  ????????,600200,  ????????,  1999-04-01
600201,  ????????,600201,  ????????,  1999-01-15
600202,  ??????,600202,  ??????,  1999-06-03
600203,  ????????,600203,  ????????,  1999-05-14
600206,  ????????,600206,  ????????,  1999-03-19
600207,  ????????,600207,  ????????,  1999-07-14
600208,  ????????,600208,  ????????,  1999-06-23
600209,  *ST????,600209,  *ST????,  1999-03-25
600210,  ????????,600210,  ????????,  1999-08-24
600211,  ????????,600211,  ????????,  1999-07-21
600212,  ????????,600212,  ????????,  1999-08-17
600213,  ????????,600213,  ????????,  1999-08-31
600215,  ??????,600215,  ??????,  1999-09-09
600216,  ????????,600216,  ????????,  1999-10-21
600217,  ????????,600217,  ????????,  1999-12-16
600218,  ????????,600218,  ????????,  1998-12-03
600219,  ????????,600219,  ????????,  1999-12-23
600220,  ????????,600220,  ????????,  1999-09-27
600221,  *ST????,600221,  *ST????,  1999-11-25
600222,  ????????,600222,  ????????,  1999-11-05
600223,  ????????,600223,  ????????,  2000-01-13
600225,  *ST????,600225,  *ST????,  2000-01-27
600226,  ST????,600226,  ST????,  1999-11-16
600227,  ??????,600227,  ??????,  2000-02-21
600228,  ????????,600228,  ????????,  1999-01-19
600229,  ????????,600229,  ????????,  2000-03-09
600230,  ????????,600230,  ????????,  2000-04-06
600231,  ????????,600231,  ????????,  2000-05-11
600232,  ????????,600232,  ????????,  2000-06-02
600233,  ????????,600233,  ????????,  2000-06-08
600234,  ????????,600234,  ????????,  2000-06-15
600235,  ????????,600235,  ????????,  2000-06-15
600236,  ????????,600236,  ????????,  2000-03-23
600237,  ????????,600237,  ????????,  2000-06-09
600238,  ????????,600238,  ????????,  2000-01-20
600239,  *ST ????,600239,  *ST ????,  1999-12-02
600241,  ST????,600241,  ST????,  2000-11-28
600242,  ST????,600242,  ST????,  2000-12-07
600243,  ????????,600243,  ????????,  2000-11-20
600246,  ????????,600246,  ????????,  2000-09-22
600248,  ????????,600248,  ????????,  2000-06-22
600249,  ??????,600249,  ??????,  2004-01-30
600250,  ????????,600250,  ????????,  2001-03-06
600251,  ????????,600251,  ????????,  2003-06-09
600252,  ????????,600252,  ????????,  2000-11-30
600255,  ????????,600255,  ????????,  2000-11-22
600256,  ????????,600256,  ????????,  2000-05-26
600257,  ????????,600257,  ????????,  2000-06-12
600258,  ????????,600258,  ????????,  2000-06-01
600259,  ????????,600259,  ????????,  2000-05-25
600260,  ST????,600260,  ST????,  2000-07-06
600261,  ????????,600261,  ????????,  2000-07-20
600262,  ????????,600262,  ????????,  2000-06-30
600265,  *ST????,600265,  *ST????,  2000-08-25
600266,  ????????,600266,  ????????,  1999-02-03
600267,  ????????,600267,  ????????,  2000-07-25
600268,  ????????,600268,  ????????,  1999-11-18
600269,  ????????,600269,  ????????,  2000-05-18
